DATE_STRIN,LATITUDE,LONGITUDE,PENUMBRAL,PARTIAL ECLIPSE,DURATION
0101/7/28,20S,12W,334.2,218.3,100.3
0102/1/22,21N,63W,327.5,159,-
0102/7/17,22S,119E,287.8,162.1,-
0103/1/11,23N,63W,168.4,-,-
0103/6/8,22S,27W,221.8,-,-
0103/7/7,25S,137W,141.9,-,-
0103/12/1,21N,167E,291,104,-
0104/5/27,21S,161E,339.3,207.1,48.4
0104/11/20,20N,5E,326.8,211.6,93.1
0105/5/16,19S,97E,361.4,218.2,60.7
0105/11/9,17N,137E,301.8,182.6,-
0106/5/5,17S,88E,260.3,-,-
0106/9/30,1N,91E,56.6,-,-
0106/10/30,15N,90W,210.6,-,-
0107/3/26,1S,166W,280.3,109.4,-
0107/9/20,3S,15W,301.3,102.6,-
0108/3/15,3N,15W,320.2,211.1,96.2
0108/9/8,7S,26W,374.7,231.5,96
0109/3/4,6N,97E,295.9,173.6,-
0109/8/28,10S,38W,343.4,194.5,-
0110/1/23,21N,70E,141.8,-,-
0110/2/22,10N,120W,174.4,-,-
0110/7/19,23S,1W,147.6,-,-
0110/8/17,13S,146W,206.6,-,-
0111/1/13,23N,8E,324.2,141.1,-
0111/7/8,24S,114E,289.6,167.3,-
0112/1/2,23N,19E,376.6,233.3,101.7
0112/6/27,24S,139W,323.6,213.7,98
0112/12/21,23N,11W,333.3,184.5,-
0113/6/17,23S,28E,282.4,101.5,-
0113/11/11,19N,23E,86.3,-,-
0113/12/10,22N,149W,206.5,-,-
0114/5/7,17S,159E,268.3,-,-
0114/10/31,15N,148E,269.8,121.1,-
0115/4/26,13S,147E,359.2,219.4,70.5
0115/10/21,10N,65W,333.4,214.4,93.4
0116/4/14,9S,56E,331,201.6,36.9
0116/10/9,6N,167E,336.9,188.8,-
0117/3/6,5N,12W,126,-,-
0117/4/4,4S,138W,218,-,-
0117/9/28,1N,144E,219,-,-
0118/2/23,9N,103E,283.3,145.6,-
0118/8/19,13S,15E,291.1,91.8,-
0119/2/13,14N,91W,343.7,221.4,101.3
0119/8/8,17S,126W,332.2,216.3,97.1
