DATE_STRIN,ECLIPSE_TYPE,MAGNITUD,LATITUDE,LONGITUDE,DURATION,EVENT
1963/8/12,T,1.0702,12.8N,78.6W,06m22s,solar_eclipse
1964/2/6,A,0.923,61.7S,137.8E,06m57s,solar_eclipse
1964/8/1,T,1.0515,60.5N,45.5E,03m33s,solar_eclipse
1964/12/26,P,0.1283,66.1N,38.1W,,solar_eclipse
1965/1/25,P,0.2879,69.0S,110.4W,,solar_eclipse
1965/6/22,P,0.5592,65.5S,25.5E,,solar_eclipse
1965/7/22,P,0.1325,68.2N,4.2E,,solar_eclipse
1965/12/16,T,1.0261,24.1N,139.9E,02m28s,solar_eclipse
1966/6/11,A,0.9488,6.3S,27.9W,06m58s,solar_eclipse
1966/12/5,T,1.0454,18.8S,100.0W,04m08s,solar_eclipse
1967/5/31,A,0.9612,37.0N,51.4W,04m08s,solar_eclipse
1967/11/25,H,1.0071,56.5S,22.2E,00m31s,solar_eclipse
1968/5/19,P,0.9519,62.8N,91.4E,,solar_eclipse
1968/11/13,P,0.3308,62.5S,138.4E,,solar_eclipse
1969/4/10,T,1.0633,41.0S,174.1E,04m31s,solar_eclipse
1969/10/4,A,0.9164,51.9N,149.6W,07m21s,solar_eclipse
1970/3/30,T,1.0619,2.1S,106.9W,05m08s,solar_eclipse
1970/9/23,A,0.9584,10.8N,150.0E,04m22s,solar_eclipse
1971/3/20,H,1.0069,34.1N,20.8E,00m35s,solar_eclipse
1971/9/12,H2,1.0142,23.1S,2.5E,01m15s,solar_eclipse
1972/2/8,P,0.1427,62.0S,50.2W,,solar_eclipse
1972/3/8,P,0.1916,60.9N,140.9W,,solar_eclipse
1972/8/2,P,0.3533,62.6N,50.2E,,solar_eclipse
1972/9/1,P,0.6162,61.2S,87.0E,,solar_eclipse
1973/1/27,A,0.9252,64.7S,123.8W,06m03s,solar_eclipse
1973/7/23,T,1.0413,58.6N,60.1E,02m52s,solar_eclipse
1974/1/16,A,0.9718,25.0S,145.5E,03m01s,solar_eclipse
1974/7/12,Am,0.9922,16.7N,131.3W,00m52s,solar_eclipse
1975/1/5,T,1.0204,15.6N,23.7W,02m01s,solar_eclipse
1975/7/2,A,0.9446,40.1S,158.7E,06m10s,solar_eclipse
1975/11/26,P,0.2394,68.3S,107.8E,,solar_eclipse
1975/12/26,P,0.4942,65.4N,98.4E,,solar_eclipse
1976/5/21,P,0.6818,68.8N,153.8W,,solar_eclipse
